symptoms,disease,medicine,advice
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
chest pain breathing,Heart Emergency,None,Seek emergency help
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
headache nausea,Migraine,Ibuprofen,Avoid light and stress
migraine-like pain nausea,Migraine,Ibuprofen,Avoid light and stress
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
stomach discomfort vomiting,Gastric Issue,Antacid,Avoid spicy food
chest pain breathing,Heart Emergency,None,Seek emergency help
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
joint ache stiffness,Arthritis,Pain Reliever,Warm compress
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
chest pain breathing,Heart Emergency,None,Seek emergency help
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
chest discomfort breathing,Heart Emergency,None,Seek emergency help
head pain nausea,Migraine,Ibuprofen,Avoid light and stress
high high temperature body pain,Viral Fever,Paracetamol,Rest and hydrate
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
fever hack cold,Common Cold,Paracetamol,Drink fluids and rest
chest pain breathing,Heart Emergency,None,Seek emergency help
high fever body ache,Viral Fever,Paracetamol,Rest and hydrate
chest pain breathing,Heart Emergency,None,Seek emergency help
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
headache nausea,Migraine,Ibuprofen,Avoid light and stress
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
eye pain redness,Eye Infection,Eye Drops,Rest and eyes consult doctor
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
joint ache stiffness,Arthritis,Pain Reliever,Warm compress
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
joint ache stiffness,Arthritis,Pain Reliever,Warm compress
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
headache nausea,Migraine,Ibuprofen,Avoid light and stress
leg ache muscle,Muscle Strain,Paracetamol,Rest and warm compress
chest pain breathing,Heart Emergency,None,Seek emergency help
fever coughing cold,Common Cold,Paracetamol,Drink fluids and rest
chest discomfort breathing,Heart Emergency,None,Seek emergency help
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
high high temperature body discomfort,Viral Fever,Paracetamol,Rest and hydrate
stomach ache vomiting,Gastric Issue,Antacid,Avoid spicy food
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
chest pain breathing,Heart Emergency,None,Seek emergency help
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
joint ache stiffness,Arthritis,Pain Reliever,Warm compress
fever hack cold,Common Cold,Paracetamol,Drink fluids and rest
chest pain breathing,Heart Emergency,None,Seek emergency help
headache nausea,Migraine,Ibuprofen,Avoid light and stress
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
joint soreness stiffness,Arthritis,Pain Reliever,Warm compress
eye pain redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
eye ache redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
stomach soreness vomiting,Gastric Issue,Antacid,Avoid spicy food
chest pain breathing,Heart Emergency,None,Seek emergency help
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
headache nausea,Migraine,Ibuprofen,Avoid light and stress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
eye pain redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
headache nausea,Migraine,Ibuprofen,Avoid light and stress
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
headache nausea,Migraine,Ibuprofen,Avoid light and stress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
eye pain redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
chest pain breathing,Heart Emergency,None,Seek emergency help
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
joint discomfort stiffness,Arthritis,Pain Reliever,Warm compress
high fever body ache,Viral Fever,Paracetamol,Rest and hydrate
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
eye discomfort redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
high pyrexia body discomfort,Viral Fever,Paracetamol,Rest and hydrate
headache nausea,Migraine,Ibuprofen,Avoid light and stress
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
high fever body ache,Viral Fever,Paracetamol,Rest and hydrate
chest pain breathing,Heart Emergency,None,Seek emergency help
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
leg ache muscle,Muscle Strain,Paracetamol,Rest and warm compress
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
eye discomfort redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
headache nausea,Migraine,Ibuprofen,Avoid light and stress
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
high fever body pain,Viral Fever,Paracetamol,Rest and hydrate
fever cough cold,Common Cold,Paracetamol,Drink fluids and rest
eye discomfort redness,Eye Infection,Eye Drops,Rest and eyes consult doctor
head pain nausea,Migraine,Ibuprofen,Avoid light and stress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
eye soreness redness,Eye Infection,Eye Drops,Rest and eyes consult doctor
headache nausea,Migraine,Ibuprofen,Avoid light and stress
chest pain breathing,Heart Emergency,None,Seek emergency help
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
headache nausea,Migraine,Ibuprofen,Avoid light and stress
chest pain breathing,Heart Emergency,None,Seek emergency help
eye discomfort redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
chest pain breathing,Heart Emergency,None,Seek emergency help
leg discomfort muscle,Muscle Strain,Paracetamol,Rest and warm compress
chest ache breathing,Heart Emergency,None,Seek emergency help
eye pain redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
high temperature cough cold,Common Cold,Paracetamol,Drink fluids and rest
stomach ache vomiting,Gastric Issue,Antacid,Avoid spicy food
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
migraine-like pain nausea,Migraine,Ibuprofen,Avoid light and stress
high pyrexia body ache,Viral Fever,Paracetamol,Rest and hydrate
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
headache nausea,Migraine,Ibuprofen,Avoid light and stress
fever hack cold,Common Cold,Paracetamol,Drink fluids and rest
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
fever hack cold,Common Cold,Paracetamol,Drink fluids and rest
leg pain muscle,Muscle Strain,Paracetamol,Rest and warm compress
eye pain redness,Eye Infection,Eye Drops,Rest and eyes consult doctor
chest pain breathing,Heart Emergency,None,Seek emergency help
eye pain redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
high high temperature body pain,Viral Fever,Paracetamol,Rest and hydrate
high fever body discomfort,Viral Fever,Paracetamol,Rest and hydrate
stomach pain vomiting,Gastric Issue,Antacid,Avoid spicy food
headache nausea,Migraine,Ibuprofen,Avoid light and stress
joint ache stiffness,Arthritis,Pain Reliever,Warm compress
joint pain stiffness,Arthritis,Pain Reliever,Warm compress
eye pain redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
eye discomfort redness,Eye Infection,Eye Drops,Rest eyes and consult doctor
headache nausea,Migraine,Ibuprofen,Avoid light and stress
